Station Name,Longitude,Latitude
23007DI,-1.95,4.783
23007DIX,-1.95,4.7833
23005PRI,-2.133,4.8
23002SES,-1.917,4.85
23001AXM,-2.2333,4.8667
23001AM,-2.233,4.867
23004AGO,-1.967,4.883
23005TAK,-1.766,4.89
23003TDI,-1.774,4.894
18025ABR,-2.05,4.9
23007TAK,-1.75,4.9
18006AVR,-2.167,4.917
23003ESI,-2.35,4.933
23001PRE,-1.867,4.933
23006SEK,-1.717,4.95
23002EIK,-2.467,4.967
23008NKR,-2.323,4.967
23000ATU,-2.567,4.983
23000INC,-1.683,4.983
23019KEN,-2.65,5
18021NSU,-2.033,5
23014BON,-2.733,5.017
23013AIY,-2.467,5.033
18022SUK,-2.15,5.033
23016HAL,-2.883,5.05
23018TAK,-2.8,5.05
23025ANG,-1.767,5.05
23021KOM,-1.483,5.05
23040KOM,-1.501,5.066
23063TIK,-2.533,5.083
23031MAN,-1.833,5.083
23024ELM,-1.35,5.083
23017MPA,-2.583,5.1
09004SHI,-2.1,5.1
19050DOM,-1.667,5.1
23048CAP,-1.25,5.1
23000CAP,-1.265,5.102
23044CAP,-1.264,5.117
16028DAB,-1.7,5.133
23027BEN,-1.9,5.15
23049AMI,-1.35,5.15
23006ANK,-1.367,5.167
17004ABR,-1.433,5.183
23012BRI,-1.283,5.183
18029ESU,-1.933,5.2
23022SAL,-1.067,5.2
23007ASE,-1.217,5.217
23019JUK,-1.333,5.25
23035MAN,-1.017,5.267
16015ELU,-2.783,5.28
23061APA,-0.7333,5.2833
18033TAR,-1.983,5.3
23011ASU,-1.233,5.3
23043ABR,-1.383,5.333
23003ABU,-1.167,5.333
23060EKR,-0.9167,5.3333
23067WIN,-0.6167,5.3333
23035ENY,-0.9667,5.35
18012SIM,-0.6369,5.3567
18039ABO,-1.967,5.367
23041ANK,-1.45,5.383
23046SEN,-0.4833,5.3833
18030NKW,-2.35,5.4
18006BON,-2.167,5.4
18005BOG,-2.033,5.4
23070ESI,-0.9833,5.4
16009JEM,-2.683,5.417
18026PRE,-2.15,5.433
20046AMP,-1.517,5.433
23040DAW,-0.7833,5.4333
18003ANK,-2.117,5.45
18028ASS,-1.15,5.45
23033BIS,-0.9833,5.45
23045POT,-0.6,5.45
23043NYA,-0.4,5.467
23042HEM,-1.533,5.483
23036GOM,-0.85,5.5
23044OBU,-0.5,5.5
23045ASS,-1.167,5.517
23066AGO,-0.7,5.517
18037SUB,-1.75,5.533
23037AGO,-0.8167,5.5333
23004KOR,-0.2229,5.536
23092WEI,-0.4,5.55
23098ACC,-0.1863,5.555
23097ACC,-0.2078,5.5612
18027BOG,-2.033,5.567
18026ATI,-1.7,5.567
23088SFA,-0.45,5.567
22020WEI,-0.35,5.567
23002AWW,-0.3422,5.5713
23094ACC,-0.2445,5.5731
23095ACC,-0.2084,5.5742
18030INS,-1.933,5.583
23005ASS,-1.206,5.583
23032ASI,-0.9833,5.5833
23012NUN,-0.0833,5.5833
23096ACC,-0.1989,5.5917
16011MAP,-2.733,5.6
18020SAM,-2.567,5.6
23023TWI,-1.55,5.6
23042NYA,-0.7833,5.6
23080KWA,-0.6333,5.6
23016ACC,-0.168,5.61
23082ACH,-0.2167,5.6167
16013ADJ,-2.633,5.617
18008HIA,-2.167,5.617
23013TEM,0,5.617
18010MAN,-2.25,5.633
23076OKE,-0.6167,5.6333
23024TEM,0.001714,5.633415
23055LEG,-0.1833,5.65
23084MPE,-0.1645,5.652
18001ADA,-2.1,5.683
22014POK,-0.2833,5.6833
23085ASH,-0.0333,5.6833
18032OPO,-1.85,5.7
20018FOS,-1.283,5.7
23034BRA,-0.9833,5.7
23006ADE,-0.1833,5.7
23021AYR,-0.6167,5.7167
16000ACH,-2.317,5.717
23000ABO,-0.2,5.733
23013OSH,-0.15,5.733
23059OYA,-0.1833,5.7333
23000NEW,0.1667,5.7333
20009ASS,-1.283,5.75
23057AKR,-0.7667,5.7667
23083AMR,0.1333,5.7667
16023ASA,-2.533,5.767
