X,Y,FID,City,County,Latitude,Location,Longitude,Market_Name,Open_Dates,Open_Hours,State,Weekday
-95.13766,43.365707,1,Arnolds Park,DICKINSON,43.365707,Arnolds Park,-95.13766,Akron Farmers Market,06/28/2018 - 09/13/2018,04:30 PM - 06:30 PM,IA,Thursday
-91.171245,40.819633,2,West Burlington,DES MOINES,40.819633,609 S. Gear Avenue,-91.171245,Ames - North Grand Farmers Market - Saturdays,06/16/2018 - 10/27/2018,09:00 AM - 12:00 PM,IA,Saturday
-95.742929,41.047044,3,Glenwood,MILLS,41.047044,418 E Sharp St,-95.742929,Ames - North Grand Farmers Market - Wednesdays,05/16/2018 - 09/26/2018,04:00 PM - 06:00 PM,IA,Wednesday
-93.686774,41.611033,4,Des Moines,POLK,41.611033,4944 Franklin Avenue,-93.686774,Ames Main Street Market,06/14/2018 - 09/20/2018,04:00 PM - 06:00 PM,IA,Thursday
-93.925595,40.624015,5,Lamoni,DECATUR,40.624015,610 E Main St,-93.925595,Anamosa Farmers Market - Saturdays,05/16/2018 - 10/31/2018,03:30 PM - 06:30 PM,IA,Wednesday
-91.415939,40.533414,6,Montrose,LEE,40.533414,203 N. 1st Street,-91.415939,Anamosa Farmers Market - Wednesdays,05/08/2018 - 09/25/2018,04:00 PM - 06:00 PM,IA,Tuesday
-96.350788,42.396538,7,Sergeant Bluff,WOODBURY,42.396538,903 Topaz Drive,-96.350788,Arnolds Park Farmers Market,06/03/2018 - 10/28/2018,10:00 AM - 03:00 PM,IA,Sunday
-92.009669,41.661865,8,Williamsburg,IOWA,41.661865,210 W. State Street,-92.009669,Atlantic - Produce in the Park,06/01/2018 - 09/28/2018,04:00 PM - 06:00 PM,IA,Friday
-87.118935,37.294113,9,Central City,LINN,37.294113,South 5th St,-87.118935,Atlantic Farmers Market - Saturdays,06/07/2018 - 09/27/2018,04:00 PM - 06:00 PM,IA,Thursday
-91.382812,40.393452,10,Keokuk,LEE,40.393452,300 Main St,-91.382812,Atlantic Farmers Market - Tuesdays,05/19/2018 - 10/13/2018,07:00 AM - 11:00 AM,IA,Saturday
-91.3140894,40.6326308,11,Ft Madison,LEE,40.6326308,The Depot - 814 10th Street,-91.3140894,Avoca Main Street Market,05/21/2018 - 10/08/2018,04:00 PM - 06:00 PM,IA,Monday
-94.716119,40.676772,12,Bedford,TAYLOR,40.676772,130 Pollock Blvd,-94.716119,Beaverdale Farmers Market,05/31/2018 - 09/27/2018,04:00 PM - 06:00 PM,IA,Thursday
-92.86779,40.72342,13,Centerville,APPANOOSE,40.72342,1209 S 18th St,-92.86779,Bedford Area Farmers Market,06/06/2018 - 09/26/2018,03:00 PM - 05:00 PM,IA,Wednesday
-91.96143,40.72953,14,Keosauqua,VAN BUREN,40.72953,Keosauqua City Park,-91.96143,Belle Plaine Farmers Market,05/22/2018 - 10/09/2018,04:00 PM - 06:00 PM,IA,Tuesday
-95.036083,40.737629,15,Clarinda,PAGE,40.737629,North 15th & Main,-95.036083,Bettendorf Farmer's Market - Mondays,06/09/2018 - 10/13/2018,08:00 AM - 11:00 AM,IA,Saturday
-95.0365194,40.7382528,16,Clarinda,PAGE,40.7382528,North 15th & Main,-95.0365194,Bettendorf Farmers Market - Thursdays,06/05/2018 - 10/16/2018,02:30 PM - 05:00 PM,IA,Tuesday
-92.414948,40.751682,17,Bloomfield,DAVIS,40.751682,100 E Jefferson St,-92.414948,Boone Area Farmers Market,05/05/2018 - 10/20/2018,08:30 AM - 11:30 AM,IA,Saturday
